match_id,season,city,team1,team2,winning_team,player_of_match,venue,runs_scored,wickets
,2016.0,Kolkata,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Rohit Sharma,Rajiv Gandhi Intl Stadium,146.0,10.0
2.0,2021.0,Mumbai,Lucknow Super Giants,Chennai Super Kings,,Virat Kohli,MA Chidambaram Stadium,179.0,8.0
,2021.0,Kolkata,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Rashid Khan,Eden Gardens,121.0,2.0
4.0,2016.0,Bangalore,Rajasthan Royals,,Rajasthan Royals,David Warner,Wankhede Stadium,143.0,6.0
5.0,2019.0,Delhi,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,,Arun Jaitley Stadium,151.0,
6.0,2019.0,,Chennai Super Kings,Delhi Capitals,,MS Dhoni,Rajiv Gandhi Intl Stadium,178.0,4.0
7.0,2011.0,Jaipur,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,,Rajiv Gandhi Intl Stadium,213.0,2.0
8.0,2014.0,Delhi,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,Rashid Khan,Rajiv Gandhi Intl Stadium,163.0,8.0
9.0,2022.0,Jaipur,Kolkata Knight Riders,Royal Challengers Bangalore,,Jasprit Bumrah,MA Chidambaram Stadium,203.0,0.0
,2018.0,Jaipur,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Virat Kohli,MA Chidambaram Stadium,200.0,3.0
11.0,2022.0,Bangalore,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,Rohit Sharma,MA Chidambaram Stadium,257.0,4.0
,2019.0,Kolkata,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,Jasprit Bumrah,M Chinnaswamy Stadium,143.0,0.0
13.0,2013.0,Jaipur,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,,M Chinnaswamy Stadium,239.0,8.0
14.0,2011.0,Delhi,Delhi Capitals,Mumbai Indians,Mumbai Indians,Virat Kohli,Eden Gardens,231.0,
15.0,2016.0,Bangalore,Gujarat Titans,Mumbai Indians,Gujarat Titans,Chris Gayle,,249.0,9.0
16.0,2019.0,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Rashid Khan,Eden Gardens,245.0,0.0
17.0,2017.0,Kolkata,Chennai Super Kings,,Chennai Super Kings,AB de Villiers,Arun Jaitley Stadium,140.0,1.0
18.0,2012.0,Bangalore,Gujarat Titans,,Chennai Super Kings,Jasprit Bumrah,MA Chidambaram Stadium,187.0,8.0
19.0,2014.0,Delhi,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,David Warner,M Chinnaswamy Stadium,252.0,7.0
20.0,2015.0,Chennai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,MS Dhoni,Arun Jaitley Stadium,178.0,9.0
21.0,2010.0,Mumbai,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Virat Kohli,Wankhede Stadium,,1.0
22.0,2016.0,Ahmedabad,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,,MA Chidambaram Stadium,241.0,3.0
,2014.0,Chennai,Gujarat Titans,Rajasthan Royals,Gujarat Titans,KL Rahul,Eden Gardens,,6.0
24.0,,Mumbai,Gujarat Titans,Mumbai Indians,Mumbai Indians,David Warner,Narendra Modi Stadium,147.0,3.0
25.0,2022.0,Bangalore,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,Rohit Sharma,Eden Gardens,238.0,3.0
26.0,2011.0,Mumbai,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,Virat Kohli,,180.0,2.0
27.0,2023.0,Kolkata,Rajasthan Royals,Gujarat Titans,,MS Dhoni,MA Chidambaram Stadium,217.0,0.0
28.0,2022.0,,Rajasthan Royals,Delhi Capitals,Delhi Capitals,Jasprit Bumrah,Rajiv Gandhi Intl Stadium,244.0,2.0
29.0,2014.0,Mumbai,Kolkata Knight Riders,,Kolkata Knight Riders,David Warner,Wankhede Stadium,132.0,9.0
30.0,2009.0,,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,Virat Kohli,Arun Jaitley Stadium,137.0,10.0
,,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Rashid Khan,Wankhede Stadium,227.0,
32.0,2016.0,Kolkata,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,AB de Villiers,Eden Gardens,221.0,2.0
33.0,2018.0,Chennai,Delhi Capitals,Gujarat Titans,Delhi Capitals,Hardik Pandya,,145.0,1.0
,2024.0,Delhi,Lucknow Super Giants,,Lucknow Super Giants,David Warner,Wankhede Stadium,182.0,
35.0,2022.0,Delhi,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,Jasprit Bumrah,Eden Gardens,,2.0
36.0,2011.0,Bangalore,,Chennai Super Kings,Chennai Super Kings,Chris Gayle,Arun Jaitley Stadium,173.0,5.0
37.0,2024.0,Ahmedabad,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,MS Dhoni,Wankhede Stadium,,4.0
38.0,2018.0,Bangalore,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,Rohit Sharma,Rajiv Gandhi Intl Stadium,233.0,8.0
39.0,2011.0,Chennai,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Jasprit Bumrah,Wankhede Stadium,214.0,9.0
40.0,2021.0,Bangalore,Lucknow Super Giants,,Lucknow Super Giants,Chris Gayle,,130.0,5.0
41.0,2011.0,Hyderabad,Kolkata Knight Riders,,Lucknow Super Giants,Rashid Khan,Rajiv Gandhi Intl Stadium,159.0,3.0
42.0,2021.0,Mumbai,,Lucknow Super Giants,Royal Challengers Bangalore,David Warner,Narendra Modi Stadium,,10.0
43.0,2013.0,Chennai,,Delhi Capitals,Delhi Capitals,MS Dhoni,Narendra Modi Stadium,240.0,3.0
44.0,2019.0,Delhi,Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,AB de Villiers,Wankhede Stadium,169.0,6.0
45.0,2010.0,Delhi,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Jasprit Bumrah,M Chinnaswamy Stadium,,5.0
46.0,2016.0,Bangalore,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,MS Dhoni,Wankhede Stadium,231.0,5.0
47.0,2024.0,Chennai,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Rashid Khan,MA Chidambaram Stadium,185.0,0.0
48.0,2024.0,,,,Mumbai Indians,KL Rahul,Wankhede Stadium,204.0,9.0
49.0,2017.0,Delhi,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,David Warner,M Chinnaswamy Stadium,195.0,8.0
50.0,2021.0,,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Rashid Khan,Arun Jaitley Stadium,197.0,6.0
51.0,2017.0,Delhi,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,KL Rahul,Narendra Modi Stadium,202.0,
52.0,2014.0,,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,Virat Kohli,Eden Gardens,251.0,10.0
53.0,2015.0,Delhi,Sunrisers Hyderabad,Chennai Super Kings,,,MA Chidambaram Stadium,126.0,0.0
54.0,2010.0,Ahmedabad,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,Rashid Khan,MA Chidambaram Stadium,218.0,7.0
55.0,2012.0,Mumbai,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,KL Rahul,MA Chidambaram Stadium,165.0,8.0
56.0,2015.0,Chennai,Gujarat Titans,,Mumbai Indians,Rohit Sharma,Narendra Modi Stadium,238.0,10.0
57.0,2022.0,Jaipur,,,Sunrisers Hyderabad,,Rajiv Gandhi Intl Stadium,241.0,7.0
58.0,2016.0,,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,Chris Gayle,M Chinnaswamy Stadium,139.0,4.0
59.0,2018.0,Hyderabad,Kolkata Knight Riders,Delhi Capitals,,Rohit Sharma,MA Chidambaram Stadium,179.0,6.0
60.0,2010.0,Jaipur,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,David Warner,Arun Jaitley Stadium,,6.0
61.0,2021.0,Jaipur,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Rashid Khan,M Chinnaswamy Stadium,242.0,0.0
62.0,2020.0,Jaipur,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Hardik Pandya,,189.0,6.0
63.0,2020.0,Hyderabad,Gujarat Titans,Mumbai Indians,Mumbai Indians,Rohit Sharma,Narendra Modi Stadium,239.0,2.0
,2020.0,Mumbai,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,KL Rahul,MA Chidambaram Stadium,238.0,2.0
65.0,2020.0,Hyderabad,Mumbai Indians,Delhi Capitals,Mumbai Indians,Hardik Pandya,Eden Gardens,206.0,6.0
66.0,2016.0,Chennai,,Rajasthan Royals,Rajasthan Royals,MS Dhoni,Rajiv Gandhi Intl Stadium,258.0,0.0
67.0,,Mumbai,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,AB de Villiers,MA Chidambaram Stadium,125.0,9.0
68.0,,Ahmedabad,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Rashid Khan,MA Chidambaram Stadium,239.0,4.0
,2011.0,Bangalore,,Royal Challengers Bangalore,Royal Challengers Bangalore,Virat Kohli,Arun Jaitley Stadium,126.0,4.0
70.0,2014.0,Chennai,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,Virat Kohli,Rajiv Gandhi Intl Stadium,197.0,
,2019.0,Jaipur,,Mumbai Indians,Mumbai Indians,,,207.0,0.0
72.0,2011.0,Jaipur,Rajasthan Royals,Gujarat Titans,Gujarat Titans,Hardik Pandya,Rajiv Gandhi Intl Stadium,159.0,6.0
73.0,2023.0,Ahmedabad,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,Rashid Khan,Eden Gardens,202.0,3.0
,2022.0,Kolkata,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Rashid Khan,Arun Jaitley Stadium,217.0,5.0
75.0,2018.0,Bangalore,Mumbai Indians,Gujarat Titans,Gujarat Titans,AB de Villiers,Eden Gardens,186.0,5.0
76.0,2008.0,Kolkata,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,AB de Villiers,Rajiv Gandhi Intl Stadium,224.0,7.0
,,,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,MS Dhoni,Wankhede Stadium,195.0,3.0
,2017.0,Hyderabad,,Kolkata Knight Riders,Kolkata Knight Riders,,,208.0,6.0
79.0,2019.0,,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,Chris Gayle,Eden Gardens,179.0,1.0
80.0,2011.0,Bangalore,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,AB de Villiers,,243.0,4.0
81.0,2011.0,Kolkata,Lucknow Super Giants,,Delhi Capitals,,Eden Gardens,165.0,4.0
82.0,2016.0,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Jasprit Bumrah,Eden Gardens,152.0,10.0
83.0,2008.0,Delhi,,,,Hardik Pandya,M Chinnaswamy Stadium,207.0,2.0
84.0,2023.0,Chennai,Mumbai Indians,Delhi Capitals,Mumbai Indians,KL Rahul,M Chinnaswamy Stadium,138.0,9.0
,2012.0,Delhi,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,AB de Villiers,Wankhede Stadium,226.0,9.0
86.0,2022.0,Ahmedabad,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Rashid Khan,M Chinnaswamy Stadium,198.0,9.0
87.0,2014.0,Kolkata,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Virat Kohli,MA Chidambaram Stadium,181.0,2.0
88.0,2013.0,Mumbai,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,Hardik Pandya,Rajiv Gandhi Intl Stadium,240.0,4.0
89.0,,Delhi,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Virat Kohli,,179.0,4.0
90.0,2011.0,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Chris Gayle,Narendra Modi Stadium,156.0,1.0
91.0,2017.0,,,Royal Challengers Bangalore,Royal Challengers Bangalore,Virat Kohli,M Chinnaswamy Stadium,197.0,6.0
92.0,2022.0,Chennai,Delhi Capitals,Gujarat Titans,Delhi Capitals,KL Rahul,Rajiv Gandhi Intl Stadium,,9.0
93.0,2010.0,Kolkata,Delhi Capitals,Mumbai Indians,Delhi Capitals,Chris Gayle,Arun Jaitley Stadium,130.0,2.0
,2016.0,Bangalore,Gujarat Titans,,Lucknow Super Giants,Hardik Pandya,Wankhede Stadium,240.0,5.0
95.0,2018.0,Chennai,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,David Warner,M Chinnaswamy Stadium,246.0,4.0
96.0,2022.0,Chennai,Rajasthan Royals,,,Chris Gayle,Eden Gardens,149.0,6.0
97.0,2022.0,Jaipur,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,AB de Villiers,Arun Jaitley Stadium,212.0,9.0
98.0,2009.0,Kolkata,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,Jasprit Bumrah,MA Chidambaram Stadium,,7.0
99.0,2008.0,Kolkata,Gujarat Titans,Chennai Super Kings,,Chris Gayle,Arun Jaitley Stadium,123.0,8.0
100.0,2015.0,Chennai,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Virat Kohli,Rajiv Gandhi Intl Stadium,159.0,7.0
101.0,2021.0,Ahmedabad,Delhi Capitals,,Lucknow Super Giants,AB de Villiers,M Chinnaswamy Stadium,157.0,6.0
,2010.0,,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,David Warner,Narendra Modi Stadium,249.0,4.0
103.0,2017.0,Ahmedabad,Mumbai Indians,Delhi Capitals,Mumbai Indians,Hardik Pandya,Arun Jaitley Stadium,243.0,5.0
104.0,2022.0,Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,AB de Villiers,Arun Jaitley Stadium,218.0,3.0
,2018.0,Ahmedabad,Rajasthan Royals,Mumbai Indians,Mumbai Indians,KL Rahul,Rajiv Gandhi Intl Stadium,158.0,7.0
106.0,2024.0,Hyderabad,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Hardik Pandya,Wankhede Stadium,254.0,7.0
107.0,2021.0,Bangalore,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Hardik Pandya,Narendra Modi Stadium,187.0,5.0
108.0,,Jaipur,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Hardik Pandya,Narendra Modi Stadium,258.0,0.0
109.0,2017.0,Kolkata,,Kolkata Knight Riders,Chennai Super Kings,KL Rahul,Wankhede Stadium,145.0,7.0
110.0,2008.0,Mumbai,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,MS Dhoni,Eden Gardens,211.0,5.0
111.0,2015.0,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Rohit Sharma,MA Chidambaram Stadium,140.0,9.0
112.0,2023.0,Bangalore,,Kolkata Knight Riders,Rajasthan Royals,Hardik Pandya,Rajiv Gandhi Intl Stadium,185.0,7.0
113.0,2022.0,Delhi,Delhi Capitals,,Delhi Capitals,Virat Kohli,M Chinnaswamy Stadium,208.0,
114.0,2016.0,Ahmedabad,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,AB de Villiers,M Chinnaswamy Stadium,243.0,1.0
115.0,2019.0,Delhi,Kolkata Knight Riders,Rajasthan Royals,,MS Dhoni,,221.0,4.0
116.0,2023.0,,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,Rashid Khan,Narendra Modi Stadium,210.0,3.0
117.0,2012.0,Chennai,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,Chris Gayle,Narendra Modi Stadium,232.0,0.0
118.0,2010.0,Delhi,,Royal Challengers Bangalore,Royal Challengers Bangalore,,MA Chidambaram Stadium,171.0,2.0
119.0,2024.0,Delhi,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,,Narendra Modi Stadium,243.0,4.0
120.0,2022.0,Chennai,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,AB de Villiers,Narendra Modi Stadium,221.0,8.0
121.0,,Mumbai,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Jasprit Bumrah,Wankhede Stadium,236.0,5.0
122.0,2019.0,Chennai,Delhi Capitals,Rajasthan Royals,Delhi Capitals,Hardik Pandya,Wankhede Stadium,203.0,9.0
123.0,2022.0,Delhi,Kolkata Knight Riders,Chennai Super Kings,,Virat Kohli,MA Chidambaram Stadium,131.0,0.0
124.0,,Chennai,Delhi Capitals,Gujarat Titans,Delhi Capitals,Jasprit Bumrah,MA Chidambaram Stadium,219.0,7.0
,,Jaipur,,Rajasthan Royals,Sunrisers Hyderabad,Hardik Pandya,Arun Jaitley Stadium,224.0,
126.0,2014.0,Ahmedabad,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,AB de Villiers,Narendra Modi Stadium,212.0,1.0
127.0,2009.0,Jaipur,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,AB de Villiers,Wankhede Stadium,236.0,1.0
128.0,,Hyderabad,,Mumbai Indians,Kolkata Knight Riders,Rohit Sharma,Narendra Modi Stadium,172.0,1.0
129.0,2014.0,Kolkata,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,Rohit Sharma,,120.0,4.0
130.0,2016.0,Bangalore,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,MS Dhoni,MA Chidambaram Stadium,,5.0
131.0,,Bangalore,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,MS Dhoni,MA Chidambaram Stadium,,8.0
132.0,2023.0,Ahmedabad,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,Jasprit Bumrah,,147.0,7.0
133.0,2009.0,Delhi,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,MS Dhoni,Wankhede Stadium,242.0,6.0
134.0,2023.0,Ahmedabad,Rajasthan Royals,,Rajasthan Royals,Virat Kohli,Eden Gardens,157.0,1.0
135.0,2018.0,Jaipur,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,Hardik Pandya,Arun Jaitley Stadium,,1.0
136.0,2021.0,Ahmedabad,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,KL Rahul,Eden Gardens,,6.0
137.0,2018.0,Jaipur,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Chris Gayle,Eden Gardens,159.0,10.0
138.0,2010.0,Chennai,Gujarat Titans,Chennai Super Kings,Gujarat Titans,KL Rahul,Wankhede Stadium,215.0,2.0
139.0,2018.0,Chennai,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,David Warner,Narendra Modi Stadium,228.0,0.0
140.0,2019.0,Chennai,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,,Rajiv Gandhi Intl Stadium,,3.0
141.0,2019.0,Chennai,Chennai Super Kings,Sunrisers Hyderabad,,Rashid Khan,MA Chidambaram Stadium,229.0,8.0
142.0,2016.0,Mumbai,Lucknow Super Giants,Mumbai Indians,,Chris Gayle,,199.0,5.0
143.0,2013.0,Bangalore,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Virat Kohli,MA Chidambaram Stadium,127.0,1.0
144.0,2020.0,Jaipur,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,David Warner,MA Chidambaram Stadium,,4.0
145.0,2009.0,Bangalore,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Rashid Khan,Wankhede Stadium,140.0,4.0
146.0,2023.0,Ahmedabad,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,Chris Gayle,MA Chidambaram Stadium,251.0,1.0
147.0,2011.0,Delhi,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Jasprit Bumrah,Rajiv Gandhi Intl Stadium,198.0,0.0
148.0,2009.0,Mumbai,Kolkata Knight Riders,,Kolkata Knight Riders,Chris Gayle,MA Chidambaram Stadium,,
149.0,2011.0,Mumbai,,Sunrisers Hyderabad,Sunrisers Hyderabad,KL Rahul,MA Chidambaram Stadium,153.0,6.0
150.0,2024.0,Hyderabad,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,KL Rahul,Narendra Modi Stadium,130.0,6.0
151.0,2010.0,Hyderabad,Mumbai Indians,Gujarat Titans,Gujarat Titans,,M Chinnaswamy Stadium,226.0,4.0
152.0,2008.0,Hyderabad,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Rashid Khan,M Chinnaswamy Stadium,212.0,1.0
153.0,2015.0,Jaipur,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Jasprit Bumrah,,221.0,4.0
154.0,2018.0,Bangalore,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Jasprit Bumrah,Rajiv Gandhi Intl Stadium,149.0,
155.0,,Hyderabad,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,AB de Villiers,Wankhede Stadium,157.0,4.0
,2012.0,Chennai,Kolkata Knight Riders,Royal Challengers Bangalore,,Hardik Pandya,M Chinnaswamy Stadium,234.0,10.0
157.0,2012.0,Ahmedabad,Sunrisers Hyderabad,Lucknow Super Giants,,Hardik Pandya,M Chinnaswamy Stadium,197.0,4.0
158.0,2024.0,Chennai,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Hardik Pandya,M Chinnaswamy Stadium,129.0,0.0
159.0,2010.0,Chennai,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,,Arun Jaitley Stadium,130.0,7.0
160.0,2023.0,,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,,Wankhede Stadium,207.0,1.0
161.0,2009.0,Kolkata,Lucknow Super Giants,Royal Challengers Bangalore,Royal Challengers Bangalore,Hardik Pandya,Arun Jaitley Stadium,253.0,9.0
162.0,2019.0,Delhi,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,KL Rahul,Narendra Modi Stadium,206.0,10.0
163.0,2010.0,Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Jasprit Bumrah,Rajiv Gandhi Intl Stadium,218.0,
164.0,2018.0,Chennai,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,David Warner,Eden Gardens,220.0,2.0
165.0,2020.0,Hyderabad,,Delhi Capitals,Chennai Super Kings,Jasprit Bumrah,Wankhede Stadium,228.0,8.0
166.0,2019.0,Delhi,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,AB de Villiers,,244.0,3.0
