match_id,season,city,team1,team2,winning_team,player_of_match,venue,runs_scored,wickets
167.0,2012.0,Chennai,,Royal Challengers Bangalore,Royal Challengers Bangalore,Virat Kohli,,258.0,8.0
168.0,2012.0,Jaipur,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Rohit Sharma,MA Chidambaram Stadium,162.0,7.0
169.0,2019.0,Kolkata,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Rashid Khan,Eden Gardens,234.0,3.0
170.0,2017.0,Ahmedabad,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,David Warner,Rajiv Gandhi Intl Stadium,232.0,7.0
171.0,2024.0,Jaipur,Delhi Capitals,Rajasthan Royals,Delhi Capitals,AB de Villiers,Narendra Modi Stadium,155.0,4.0
172.0,2019.0,Chennai,Mumbai Indians,Gujarat Titans,Mumbai Indians,Chris Gayle,Wankhede Stadium,,4.0
173.0,2021.0,Chennai,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,Hardik Pandya,Eden Gardens,126.0,6.0
,2024.0,Hyderabad,Mumbai Indians,Rajasthan Royals,Mumbai Indians,KL Rahul,Wankhede Stadium,215.0,3.0
175.0,,Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Rohit Sharma,Wankhede Stadium,193.0,7.0
176.0,2022.0,Mumbai,Royal Challengers Bangalore,Gujarat Titans,,MS Dhoni,Eden Gardens,175.0,2.0
177.0,2011.0,Delhi,Lucknow Super Giants,,Lucknow Super Giants,Chris Gayle,,132.0,3.0
178.0,2010.0,Chennai,Rajasthan Royals,Gujarat Titans,Gujarat Titans,Rashid Khan,Arun Jaitley Stadium,124.0,10.0
179.0,2012.0,Delhi,Lucknow Super Giants,Kolkata Knight Riders,,MS Dhoni,Arun Jaitley Stadium,210.0,3.0
180.0,,Hyderabad,,Royal Challengers Bangalore,Rajasthan Royals,Jasprit Bumrah,Arun Jaitley Stadium,249.0,
181.0,2020.0,,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,,Eden Gardens,184.0,0.0
182.0,2019.0,Kolkata,,Chennai Super Kings,Sunrisers Hyderabad,Rashid Khan,Rajiv Gandhi Intl Stadium,205.0,2.0
183.0,2018.0,,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Hardik Pandya,Rajiv Gandhi Intl Stadium,,2.0
184.0,2009.0,Delhi,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,MS Dhoni,Narendra Modi Stadium,171.0,
185.0,2024.0,,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Chris Gayle,Wankhede Stadium,168.0,4.0
,2018.0,Delhi,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,,M Chinnaswamy Stadium,,7.0
187.0,2013.0,Ahmedabad,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,David Warner,,252.0,4.0
188.0,2010.0,,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Jasprit Bumrah,Eden Gardens,202.0,1.0
189.0,,Delhi,Chennai Super Kings,,Sunrisers Hyderabad,Rashid Khan,Rajiv Gandhi Intl Stadium,229.0,
190.0,2022.0,Mumbai,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,Rashid Khan,M Chinnaswamy Stadium,190.0,10.0
191.0,2020.0,Hyderabad,Mumbai Indians,Chennai Super Kings,Mumbai Indians,MS Dhoni,MA Chidambaram Stadium,232.0,
192.0,2015.0,Hyderabad,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,,Arun Jaitley Stadium,,9.0
193.0,2019.0,Hyderabad,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,Virat Kohli,Arun Jaitley Stadium,155.0,8.0
194.0,2018.0,Delhi,Sunrisers Hyderabad,,Sunrisers Hyderabad,Virat Kohli,Wankhede Stadium,167.0,7.0
,,,Lucknow Super Giants,Rajasthan Royals,,Hardik Pandya,,193.0,7.0
196.0,2012.0,Chennai,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Rohit Sharma,Rajiv Gandhi Intl Stadium,233.0,1.0
197.0,2010.0,Delhi,Sunrisers Hyderabad,,Lucknow Super Giants,Rohit Sharma,Rajiv Gandhi Intl Stadium,164.0,5.0
198.0,2011.0,Kolkata,Lucknow Super Giants,Kolkata Knight Riders,,AB de Villiers,Narendra Modi Stadium,246.0,0.0
199.0,,Bangalore,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,Virat Kohli,Eden Gardens,221.0,7.0
200.0,2021.0,Chennai,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,David Warner,Rajiv Gandhi Intl Stadium,138.0,7.0
201.0,2012.0,Bangalore,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,KL Rahul,Arun Jaitley Stadium,134.0,1.0
202.0,2017.0,Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,Lucknow Super Giants,,Rajiv Gandhi Intl Stadium,177.0,5.0
203.0,2010.0,,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,Jasprit Bumrah,Eden Gardens,152.0,10.0
204.0,2024.0,Bangalore,Delhi Capitals,Chennai Super Kings,Delhi Capitals,Rohit Sharma,Rajiv Gandhi Intl Stadium,,9.0
205.0,2010.0,Mumbai,Mumbai Indians,Lucknow Super Giants,,AB de Villiers,Narendra Modi Stadium,226.0,9.0
206.0,2017.0,Delhi,Mumbai Indians,Gujarat Titans,Gujarat Titans,AB de Villiers,Narendra Modi Stadium,223.0,4.0
207.0,,,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,KL Rahul,M Chinnaswamy Stadium,238.0,3.0
208.0,2018.0,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,KL Rahul,MA Chidambaram Stadium,214.0,
209.0,2018.0,,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,Virat Kohli,,235.0,3.0
,2009.0,Delhi,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Rashid Khan,M Chinnaswamy Stadium,183.0,2.0
211.0,2014.0,Bangalore,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,Jasprit Bumrah,M Chinnaswamy Stadium,247.0,
,2010.0,Jaipur,Gujarat Titans,Mumbai Indians,,AB de Villiers,,210.0,0.0
213.0,2023.0,Ahmedabad,,Delhi Capitals,Delhi Capitals,Jasprit Bumrah,Wankhede Stadium,147.0,6.0
214.0,2019.0,Jaipur,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,MS Dhoni,M Chinnaswamy Stadium,133.0,9.0
215.0,2019.0,Delhi,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,KL Rahul,Arun Jaitley Stadium,235.0,8.0
216.0,2012.0,Chennai,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,David Warner,Narendra Modi Stadium,206.0,8.0
217.0,2014.0,,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,MS Dhoni,,155.0,5.0
218.0,2012.0,Bangalore,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,Rashid Khan,Eden Gardens,,6.0
219.0,2024.0,,Delhi Capitals,,Sunrisers Hyderabad,Hardik Pandya,Narendra Modi Stadium,124.0,5.0
220.0,2021.0,Delhi,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Rashid Khan,M Chinnaswamy Stadium,187.0,10.0
221.0,2023.0,Bangalore,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Rohit Sharma,Narendra Modi Stadium,182.0,0.0
222.0,2008.0,Ahmedabad,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,KL Rahul,MA Chidambaram Stadium,225.0,3.0
223.0,2009.0,Bangalore,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,Jasprit Bumrah,Eden Gardens,242.0,8.0
224.0,2013.0,Ahmedabad,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Jasprit Bumrah,Eden Gardens,187.0,9.0
225.0,2015.0,Delhi,,Kolkata Knight Riders,,AB de Villiers,Eden Gardens,193.0,3.0
226.0,2023.0,Hyderabad,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,Chris Gayle,Wankhede Stadium,259.0,6.0
227.0,2012.0,,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Chris Gayle,,140.0,5.0
228.0,2023.0,Kolkata,Gujarat Titans,Delhi Capitals,Gujarat Titans,Jasprit Bumrah,Eden Gardens,189.0,2.0
229.0,2015.0,Mumbai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,AB de Villiers,Wankhede Stadium,145.0,6.0
230.0,2011.0,Bangalore,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,Jasprit Bumrah,,224.0,10.0
231.0,2014.0,Delhi,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,Chris Gayle,Rajiv Gandhi Intl Stadium,135.0,1.0
232.0,,Jaipur,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,MS Dhoni,Narendra Modi Stadium,221.0,7.0
233.0,2009.0,Mumbai,Royal Challengers Bangalore,,Delhi Capitals,Rashid Khan,Arun Jaitley Stadium,147.0,5.0
234.0,2024.0,Ahmedabad,Delhi Capitals,Gujarat Titans,Delhi Capitals,Jasprit Bumrah,M Chinnaswamy Stadium,,3.0
235.0,2013.0,Ahmedabad,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Rohit Sharma,Wankhede Stadium,206.0,4.0
236.0,2020.0,Jaipur,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Virat Kohli,M Chinnaswamy Stadium,144.0,2.0
237.0,2018.0,Kolkata,Royal Challengers Bangalore,Gujarat Titans,Royal Challengers Bangalore,Chris Gayle,M Chinnaswamy Stadium,180.0,7.0
238.0,,Mumbai,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,David Warner,Rajiv Gandhi Intl Stadium,,0.0
239.0,2017.0,,Chennai Super Kings,Gujarat Titans,Gujarat Titans,,Rajiv Gandhi Intl Stadium,199.0,1.0
240.0,2015.0,Kolkata,Delhi Capitals,,Delhi Capitals,Hardik Pandya,MA Chidambaram Stadium,236.0,9.0
241.0,2023.0,Kolkata,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Rashid Khan,Narendra Modi Stadium,140.0,8.0
242.0,2010.0,Chennai,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,,Arun Jaitley Stadium,171.0,9.0
243.0,2013.0,Hyderabad,Lucknow Super Giants,Royal Challengers Bangalore,,Virat Kohli,Rajiv Gandhi Intl Stadium,172.0,9.0
244.0,,Ahmedabad,,Chennai Super Kings,Gujarat Titans,,MA Chidambaram Stadium,,6.0
245.0,2022.0,Delhi,Gujarat Titans,Mumbai Indians,Gujarat Titans,KL Rahul,Eden Gardens,120.0,3.0
246.0,2021.0,Hyderabad,Chennai Super Kings,,Chennai Super Kings,Jasprit Bumrah,Wankhede Stadium,137.0,7.0
247.0,2021.0,Bangalore,Mumbai Indians,Delhi Capitals,Mumbai Indians,KL Rahul,Eden Gardens,217.0,7.0
248.0,2010.0,,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,Virat Kohli,MA Chidambaram Stadium,257.0,6.0
249.0,2015.0,,Lucknow Super Giants,Royal Challengers Bangalore,Lucknow Super Giants,Chris Gayle,M Chinnaswamy Stadium,259.0,6.0
250.0,2015.0,Kolkata,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,David Warner,MA Chidambaram Stadium,190.0,3.0
251.0,2021.0,Mumbai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,AB de Villiers,,,
252.0,2009.0,Kolkata,Mumbai Indians,Gujarat Titans,Mumbai Indians,KL Rahul,M Chinnaswamy Stadium,179.0,8.0
253.0,2012.0,Delhi,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Rashid Khan,Eden Gardens,202.0,3.0
254.0,2024.0,Kolkata,Delhi Capitals,Royal Challengers Bangalore,,Chris Gayle,Eden Gardens,135.0,8.0
255.0,,Mumbai,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,KL Rahul,,254.0,5.0
256.0,2012.0,Delhi,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,,Narendra Modi Stadium,257.0,7.0
257.0,2017.0,Bangalore,Kolkata Knight Riders,Lucknow Super Giants,,,Arun Jaitley Stadium,225.0,6.0
258.0,2020.0,,Lucknow Super Giants,Royal Challengers Bangalore,Royal Challengers Bangalore,AB de Villiers,,140.0,7.0
259.0,2014.0,Mumbai,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,KL Rahul,Rajiv Gandhi Intl Stadium,,
260.0,2023.0,,Kolkata Knight Riders,,Lucknow Super Giants,Chris Gayle,Wankhede Stadium,174.0,3.0
261.0,2015.0,Kolkata,Chennai Super Kings,Gujarat Titans,Gujarat Titans,AB de Villiers,,202.0,4.0
262.0,2019.0,Delhi,Rajasthan Royals,Gujarat Titans,Gujarat Titans,David Warner,Arun Jaitley Stadium,247.0,7.0
263.0,,Kolkata,Chennai Super Kings,Gujarat Titans,Gujarat Titans,David Warner,M Chinnaswamy Stadium,,
264.0,2008.0,Delhi,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Chris Gayle,MA Chidambaram Stadium,170.0,5.0
265.0,2015.0,Ahmedabad,Kolkata Knight Riders,Rajasthan Royals,,Chris Gayle,Narendra Modi Stadium,245.0,10.0
266.0,,Hyderabad,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,Rohit Sharma,Rajiv Gandhi Intl Stadium,259.0,7.0
267.0,2024.0,Mumbai,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,MS Dhoni,Narendra Modi Stadium,121.0,6.0
268.0,2010.0,,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,AB de Villiers,Arun Jaitley Stadium,236.0,
269.0,2023.0,Mumbai,Mumbai Indians,Gujarat Titans,Mumbai Indians,Jasprit Bumrah,Arun Jaitley Stadium,225.0,0.0
270.0,2017.0,Mumbai,Mumbai Indians,Delhi Capitals,Delhi Capitals,Rohit Sharma,Wankhede Stadium,144.0,
271.0,2014.0,Delhi,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Chris Gayle,Narendra Modi Stadium,221.0,1.0
272.0,2022.0,Kolkata,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Chris Gayle,Rajiv Gandhi Intl Stadium,140.0,10.0
273.0,2020.0,Jaipur,Mumbai Indians,,Chennai Super Kings,Jasprit Bumrah,M Chinnaswamy Stadium,134.0,10.0
274.0,2010.0,,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,,Arun Jaitley Stadium,144.0,8.0
275.0,2014.0,Ahmedabad,,Kolkata Knight Riders,Kolkata Knight Riders,MS Dhoni,Wankhede Stadium,191.0,8.0
276.0,2018.0,,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Rashid Khan,,221.0,1.0
277.0,2015.0,,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,KL Rahul,Narendra Modi Stadium,155.0,1.0
278.0,2009.0,Chennai,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,AB de Villiers,Narendra Modi Stadium,139.0,5.0
279.0,2008.0,Delhi,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Hardik Pandya,MA Chidambaram Stadium,211.0,8.0
280.0,2013.0,Jaipur,Rajasthan Royals,,Rajasthan Royals,Rashid Khan,Eden Gardens,183.0,
,2012.0,Jaipur,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,KL Rahul,,,
282.0,2017.0,Ahmedabad,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Chris Gayle,Wankhede Stadium,153.0,1.0
283.0,2022.0,Jaipur,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,MS Dhoni,Wankhede Stadium,,8.0
284.0,2020.0,Mumbai,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,KL Rahul,M Chinnaswamy Stadium,141.0,8.0
285.0,2020.0,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Chris Gayle,Eden Gardens,188.0,7.0
286.0,2013.0,Jaipur,Royal Challengers Bangalore,,Chennai Super Kings,KL Rahul,Eden Gardens,243.0,1.0
287.0,2015.0,Ahmedabad,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Hardik Pandya,Wankhede Stadium,154.0,4.0
288.0,2018.0,Jaipur,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Hardik Pandya,Eden Gardens,230.0,10.0
289.0,2018.0,Kolkata,Royal Challengers Bangalore,Delhi Capitals,,David Warner,MA Chidambaram Stadium,221.0,
290.0,2015.0,Hyderabad,Delhi Capitals,Gujarat Titans,Gujarat Titans,Chris Gayle,Narendra Modi Stadium,220.0,5.0
291.0,2013.0,Mumbai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,,M Chinnaswamy Stadium,194.0,1.0
292.0,2012.0,Delhi,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,Chris Gayle,Rajiv Gandhi Intl Stadium,159.0,6.0
293.0,2022.0,Ahmedabad,Rajasthan Royals,Chennai Super Kings,,Jasprit Bumrah,Arun Jaitley Stadium,,8.0
294.0,2010.0,Chennai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,David Warner,MA Chidambaram Stadium,131.0,
295.0,,Chennai,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,,Eden Gardens,,8.0
296.0,2022.0,Hyderabad,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,Hardik Pandya,Narendra Modi Stadium,248.0,2.0
297.0,,Chennai,Sunrisers Hyderabad,Mumbai Indians,,KL Rahul,Wankhede Stadium,149.0,2.0
298.0,2018.0,Ahmedabad,Sunrisers Hyderabad,,,Jasprit Bumrah,M Chinnaswamy Stadium,209.0,7.0
299.0,2022.0,Hyderabad,,Gujarat Titans,Chennai Super Kings,Chris Gayle,Wankhede Stadium,149.0,0.0
300.0,2013.0,Kolkata,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Jasprit Bumrah,MA Chidambaram Stadium,204.0,8.0
301.0,2015.0,Jaipur,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,Rohit Sharma,Rajiv Gandhi Intl Stadium,230.0,6.0
302.0,2022.0,Jaipur,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,MS Dhoni,Rajiv Gandhi Intl Stadium,174.0,3.0
303.0,2011.0,Bangalore,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,David Warner,MA Chidambaram Stadium,237.0,1.0
304.0,2024.0,Hyderabad,Delhi Capitals,Gujarat Titans,Gujarat Titans,Rashid Khan,M Chinnaswamy Stadium,149.0,5.0
305.0,2013.0,Delhi,Sunrisers Hyderabad,Gujarat Titans,,Rohit Sharma,Eden Gardens,150.0,3.0
306.0,2013.0,,Delhi Capitals,Chennai Super Kings,Delhi Capitals,Jasprit Bumrah,M Chinnaswamy Stadium,227.0,9.0
307.0,,Bangalore,Royal Challengers Bangalore,,Rajasthan Royals,Jasprit Bumrah,Rajiv Gandhi Intl Stadium,164.0,8.0
308.0,2017.0,Bangalore,Royal Challengers Bangalore,Gujarat Titans,Royal Challengers Bangalore,David Warner,Narendra Modi Stadium,235.0,
309.0,2008.0,Ahmedabad,,Sunrisers Hyderabad,Mumbai Indians,AB de Villiers,Narendra Modi Stadium,218.0,8.0
310.0,2021.0,Ahmedabad,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,Hardik Pandya,M Chinnaswamy Stadium,162.0,1.0
311.0,2017.0,Mumbai,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,AB de Villiers,Arun Jaitley Stadium,193.0,2.0
312.0,2024.0,Chennai,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,Chris Gayle,Narendra Modi Stadium,259.0,5.0
313.0,,Kolkata,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,Virat Kohli,Rajiv Gandhi Intl Stadium,183.0,
314.0,2016.0,Hyderabad,Mumbai Indians,Gujarat Titans,Mumbai Indians,Hardik Pandya,Narendra Modi Stadium,150.0,3.0
315.0,2021.0,Bangalore,,Sunrisers Hyderabad,Kolkata Knight Riders,AB de Villiers,Narendra Modi Stadium,172.0,0.0
316.0,2013.0,Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Chris Gayle,Arun Jaitley Stadium,,8.0
,2021.0,Mumbai,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Rohit Sharma,Rajiv Gandhi Intl Stadium,,
318.0,2015.0,Jaipur,Royal Challengers Bangalore,,Sunrisers Hyderabad,Rohit Sharma,Arun Jaitley Stadium,188.0,10.0
319.0,2022.0,Chennai,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,KL Rahul,Arun Jaitley Stadium,191.0,5.0
320.0,,Mumbai,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,Hardik Pandya,Rajiv Gandhi Intl Stadium,211.0,1.0
321.0,2014.0,Jaipur,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,Hardik Pandya,Eden Gardens,202.0,4.0
322.0,2023.0,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,MS Dhoni,Wankhede Stadium,237.0,0.0
323.0,2022.0,,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,KL Rahul,MA Chidambaram Stadium,153.0,10.0
324.0,2016.0,Chennai,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,Chris Gayle,Wankhede Stadium,215.0,10.0
325.0,2020.0,Delhi,,Mumbai Indians,,KL Rahul,Rajiv Gandhi Intl Stadium,143.0,
326.0,2023.0,Chennai,Mumbai Indians,Kolkata Knight Riders,,Rashid Khan,MA Chidambaram Stadium,252.0,10.0
327.0,2008.0,Hyderabad,Gujarat Titans,Mumbai Indians,Gujarat Titans,KL Rahul,Rajiv Gandhi Intl Stadium,153.0,7.0
328.0,2020.0,Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,,Eden Gardens,,
329.0,,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Jasprit Bumrah,Arun Jaitley Stadium,122.0,9.0
330.0,2019.0,Kolkata,Royal Challengers Bangalore,Gujarat Titans,,KL Rahul,Arun Jaitley Stadium,233.0,3.0
331.0,2012.0,Chennai,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,David Warner,M Chinnaswamy Stadium,200.0,2.0
332.0,2010.0,Kolkata,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,MS Dhoni,Narendra Modi Stadium,197.0,
